Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 39.55      1.06     1.06                             _mcount_private
 32.46      1.93     0.87                             __fentry__
  3.36      2.02     0.09   645549     0.00     0.00  Board::PlayMove(Move const&)
  2.99      2.10     0.08 23235544     0.00     0.00  std::_Rb_tree_const_iterator<short>::operator++()
  1.49      2.14     0.04  9628710     0.00     0.00  Board::GetFather(short)
  1.49      2.18     0.04  1484095     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::equal_range(short const&)
  1.49      2.22     0.04   639582     0.00     0.00  void std::__advance<std::_Rb_tree_const_iterator<short>, long long>(std::_Rb_tree_const_iterator<short>&, long long, std::bidirectional_iterator_tag)
  1.12      2.25     0.03 17858553     0.00     0.00  std::_Rb_tree_node<short>::_M_valptr() const
  1.12      2.28     0.03 16153257     0.00     0.00  std::less<short>::operator()(short const&, short const&) const
  1.12      2.31     0.03  1592174     0.00     0.00  Board::DisAble(short, int)
  1.12      2.34     0.03   472849     0.00     0.00  Board::CheckSuisidePoint(short)
  1.12      2.37     0.03   452927     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_get_insert_unique_pos(short const&)
  0.75      2.39     0.02  9842616     0.00     0.00  short const& std::forward<short const&>(std::remove_reference<short const&>::type&)
  0.75      2.41     0.02  1472827     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::erase[abi:cxx11](std::_Rb_tree_const_iterator<short>)
  0.75      2.43     0.02    99916     0.00     0.00  Board::RemoveChain(short)
  0.37      2.44     0.01 17858553     0.00     0.00  __gnu_cxx::__aligned_membuf<short>::_M_ptr() const
  0.37      2.45     0.01 17051324     0.00     0.00  std::_Identity<short>::operator()(short const&) const
  0.37      2.46     0.01 15311906     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_key(std::_Rb_tree_node<short> const*)
  0.37      2.47     0.01  8601821     0.00     0.00  std::_Rb_tree_iterator<short>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.37      2.48     0.01  5561789     0.00     0.00  BitSet::reset(int)
  0.37      2.49     0.01  4997142     0.00     0.00  std::_Rb_tree_const_iterator<short>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<short> const&)
  0.37      2.50     0.01  4250422     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::size() const
  0.37      2.51     0.01  3421117     0.00     0.00  std::_Rb_tree_iterator<short>&& std::forward<std::_Rb_tree_iterator<short> >(std::remove_reference<std::_Rb_tree_iterator<short> >::type&)
  0.37      2.52     0.01  2956922     0.00     0.00  std::_Rb_tree_const_iterator<short>::_M_const_cast() const
  0.37      2.53     0.01  1678925     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::begin()
  0.37      2.54     0.01  1489573     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::construct<short, short const&>(short*, short const&)
  0.37      2.55     0.01  1489573     0.00     0.00  std::_Rb_tree_node<short>::_Rb_tree_node()
  0.37      2.56     0.01  1489573     0.00     0.00  std::enable_if<std::__and_<std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::__construct_helper<short, short const&>::type>::value, void>::type std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::_S_construct<short, short const&>(std::allocator<std::_Rb_tree_node<short> >&, short*, short const&)
  0.37      2.57     0.01  1489573     0.00     0.00  void std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_construct_node<short const&>(std::_Rb_tree_node<short>*, short const&)
  0.37      2.58     0.01  1484095     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_erase_aux(std::_Rb_tree_const_iterator<short>, std::_Rb_tree_const_iterator<short>)
  0.37      2.59     0.01  1011332     0.00     0.00  UCT::UCB(UCT::Node*, int)
  0.37      2.60     0.01   645368     0.00     0.00  Board::FromEmpty(short, int)
  0.37      2.61     0.01   515424     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_right(std::_Rb_tree_node_base const*)
  0.37      2.62     0.01   458725     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node::_Alloc_node(std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >&)
  0.37      2.63     0.01   452927     0.00     0.00  std::pair<std::_Rb_tree_iterator<short>, bool> std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_insert_unique<short const&>(short const&)
  0.37      2.64     0.01   220103     0.00     0.00  BitSet::GetAirPos()
  0.37      2.65     0.01     6136     0.00     0.01  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Rb_tree(std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> > const&)
  0.37      2.66     0.01     3068     0.00     0.21  MC::Simulate(Board&, int)
  0.37      2.67     0.01                             __logl_internal
  0.37      2.68     0.01                             sqrt
  0.00      2.68     0.00 17858553     0.00     0.00  __gnu_cxx::__aligned_membuf<short>::_M_addr() const
  0.00      2.68     0.00 15311906     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_value(std::_Rb_tree_node<short> const*)
  0.00      2.68     0.00  6515009     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_right(std::_Rb_tree_node_base*)
  0.00      2.68     0.00  6143575     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_S_left(std::_Rb_tree_node_base*)
  0.00      2.68     0.00  5957620     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_get_Node_allocator()
  0.00      2.68     0.00  3879778     0.00     0.00  BitSet::operator[](int)
  0.00      2.68     0.00  3644053     0.00     0.00  BitSet::count()
  0.00      2.68     0.00  2979146     0.00     0.00  operator new(unsigned long long, void*)
  0.00      2.68     0.00  2978810     0.00     0.00  __gnu_cxx::__aligned_membuf<short>::_M_ptr()
  0.00      2.68     0.00  2978810     0.00     0.00  __gnu_cxx::__aligned_membuf<short>::_M_addr()
  0.00      2.68     0.00  2978810     0.00     0.00  std::_Rb_tree_node<short>::_M_valptr()
  0.00      2.68     0.00  2974555     0.00     0.00  std::_Rb_tree_const_iterator<short>::operator!=(std::_Rb_tree_const_iterator<short> const&) const
  0.00      2.68     0.00  2395747     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_end()
  0.00      2.68     0.00  1954426     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_begin()
  0.00      2.68     0.00  1707350     0.00     0.00  Board::RemoveEye(short, int)
  0.00      2.68     0.00  1576025     0.00     0.00  std::_Rb_tree_const_iterator<short>::operator==(std::_Rb_tree_const_iterator<short> const&) const
  0.00      2.68     0.00  1501557     0.00     0.00  std::_Rb_tree_const_iterator<short>::operator++(int)
  0.00      2.68     0.00  1489573     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::allocate(unsigned long long, void const*)
  0.00      2.68     0.00  1489573     0.00     0.00  __gnu_cxx::__aligned_membuf<short>::__aligned_membuf()
  0.00      2.68     0.00  1489573     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::max_size() const
  0.00      2.68     0.00  1489573     0.00     0.00  std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_Alloc_node::operator()<short const&>(short const&) const
  0.00      2.68     0.00  1489573     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::allocate(std::allocator<std::_Rb_tree_node<short> >&, unsigned long long)
  0.00      2.68     0.00  1489573     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<short const&>)({parm#3}))) std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::construct<short, short const&>(std::allocator<std::_Rb_tree_node<short> >&, short*, short const&)
  0.00      2.68     0.00  1489573     0.00     0.00  std::_Rb_tree_node_base::_Rb_tree_node_base()
  0.00      2.68     0.00  1489573     0.00     0.00  std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_get_node()
  0.00      2.68     0.00  1489573     0.00     0.00  std::_Rb_tree_node<short>* std::_Rb_tree<short, short, std::_Identity<short>, std::less<short>, std::allocator<short> >::_M_create_node<short const&>(short const&)
  0.00      2.68     0.00  1489237     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::deallocate(std::_Rb_tree_node<short>*, unsigned long long)
  0.00      2.68     0.00  1489237     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<short> >::destroy<short>(short*)
  0.00      2.68     0.00  1489237     0.00     0.00  std::enable_if<std::__and_<std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::__destroy_helper<short>::type>::value, void>::type std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::_S_destroy<short>(std::allocator<std::_Rb_tree_node<short> >&, short*)
  0.00      2.68     0.00  1489237     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<short> > >::deallocate(std::allocator<std::_Rb_tree_node<short> >&, std::_Rb_tree_node<short>*, unsigned long long)
